activePeers,direction,level,msg,current_slot,max_slot,estimated_time_remaining,multiAddr,prefix,time,required,suitable,blocksPerSecond,peers,root,slot
3,2,info,Peer connected,,,,/ip4/206.189.196.155/tcp/9000/p2p/16Uiu2HAm2c7yRV1acx3NQSd7VDy7157ZnxZqnVo4uY9umJhBYCe8,p2p,2020-10-07T14:11:03Z,,,,,,
,,info,Waiting for enough suitable peers before syncing,,,,,initial-sync,2020-10-07T14:11:07Z,3,1,,,,
5,2,info,Peer connected,,,,/ip4/159.203.165.140/tcp/9000/p2p/16Uiu2HAm6n57ZBXvF35QypVKyEJjMmGNQta3CwLA5DJ2cYMKGUXb,p2p,2020-10-07T14:11:08Z,,,,,,
5,2,info,Peer connected,,,,/ip4/3.132.193.49/tcp/9000/p2p/16Uiu2HAmDozn3ksBmKS83i9KD6QETymzPCTw9ZxszGYvmKxfDmDK,p2p,2020-10-07T14:11:08Z,,,,,,
5,2,info,Peer connected,,,,/ip4/101.179.14.213/tcp/9000/p2p/16Uiu2HAkyCHSSL8qBG9pzHXfFWZMoGKiYeKQ3epTwC68UzeCTvuf,p2p,2020-10-07T14:11:09Z,,,,,,
7,2,info,Peer connected,,,,/ip4/145.132.173.251/tcp/9040/p2p/16Uiu2HAm1TZ4jyney42Cjoqzhh1Nn789tMUkrTKVWnqNhaJArLbo,p2p,2020-10-07T14:11:10Z,,,,,,
7,2,info,Peer connected,,,,/ip4/45.77.124.125/tcp/9000/p2p/16Uiu2HAkvmijirSgjzau6Ajm7YNT3axj8T1z62QTZgFgcVeWjEhz,p2p,2020-10-07T14:11:13Z,,,,,,
8,2,info,Peer connected,,,,/ip4/172.104.224.249/tcp/9000/p2p/16Uiu2HAm9wCgd9yoQEFdcjRzh7dPeXBhBSJESaEqECqgCippebDy,p2p,2020-10-07T14:11:15Z,,,,,,
10,2,info,Peer connected,,,,/ip4/67.52.7.242/tcp/13011/p2p/16Uiu2HAm4U8fnkxgxg88VRLoDustnnME5Ui2oYLxmRme8VGyfT8v,p2p,2020-10-07T14:11:15Z,,,,,,
11,2,info,Peer connected,,,,/ip4/77.21.86.116/tcp/9000/p2p/16Uiu2HAmFYMVzKz9wC2JfiMPZodA322v5iV9HAwnETnwHM5m53Gy,p2p,2020-10-07T14:11:18Z,,,,,,
,,info,Processing block batch of size 44 starting from  0x4f042e61,1,461155, 58h13m35s,,initial-sync,2020-10-07T14:11:19Z,,,2.2,9,,
11,2,info,Peer connected,,,,/ip4/40.77.27.225/tcp/9000/p2p/16Uiu2HAmHA4qmKBmjnaYwacoymtrRLjZgFEnM8YPWvXDN2AnsdBL,p2p,2020-10-07T14:11:21Z,,,,,,
,,info,Processing block batch of size 35 starting from  0xe88d6f52,68,461156, 32h25m31s,,initial-sync,2020-10-07T14:11:23Z,,,4,10,,
,,info,Processing block batch of size 39 starting from  0x98485ccb,128,461156, 21h42m20s,,initial-sync,2020-10-07T14:11:26Z,,,5.9,10,,
,,info,Processing block batch of size 46 starting from  0x5ce25fca,192,461156, 15h36m55s,,initial-sync,2020-10-07T14:11:30Z,,,8.2,10,,
11,2,info,Peer connected,,,,/ip4/82.248.90.211/tcp/9000/p2p/16Uiu2HAkyEXSWqhgTweFi7GJcW3VZcoEn2qjMUZK3sAwXz4NsRC8,p2p,2020-10-07T14:11:32Z,,,,,,
12,2,info,Peer connected,,,,/ip4/68.185.171.253/tcp/13000/p2p/16Uiu2HAkuU5bTBws63H62MogsAzyP53bNX4PbyAPZbHWUroZq3T5,p2p,2020-10-07T14:11:32Z,,,,,,
,,info,Processing block batch of size 40 starting from  0x7ceb113d,257,461157, 12h33m6s,,initial-sync,2020-10-07T14:11:33Z,,,10.2,12,,
,,info,Processing block batch of size 48 starting from  0x789bd090,320,461157, 10h9m34s,,initial-sync,2020-10-07T14:11:37Z,,,12.6,12,,
13,2,info,Peer connected,,,,/ip4/13.228.56.69/tcp/9001/p2p/16Uiu2HAmKFQCR3AW9pJfQj5J2raYkqbmoSxyeiMaCoMKUSPtZm8H,p2p,2020-10-07T14:11:39Z,,,,,,
,,info,Processing block batch of size 48 starting from  0x10f8e57c,385,461157, 9h59m57s,,initial-sync,2020-10-07T14:11:42Z,,,12.8,13,,
17,2,info,Peer connected,,,,/ip4/24.107.187.198/tcp/9000/p2p/16Uiu2HAmMGmgS2DLzS6fokP5WvyWLA9ECGFadLPns7H4hJHEzj1H,p2p,2020-10-07T14:11:44Z,,,,,,
,,info,Processing block batch of size 52 starting from  0xfe05ac31,448,461158, 10h56m16s,,initial-sync,2020-10-07T14:11:46Z,,,11.7,14,,
17,2,info,Peer connected,,,,/ip4/80.241.216.122/tcp/9000/p2p/16Uiu2HAkzYvRiXmHvnhiKeUNeUFAB98xxnjZjGMc3jj64gqgYxHE,p2p,2020-10-07T14:11:48Z,,,,,,
,,info,Processing block batch of size 49 starting from  0xe3d5e75f,512,461158, 10h47m53s,,initial-sync,2020-10-07T14:11:50Z,,,11.8,15,,
17,2,info,Peer connected,,,,/ip4/77.11.65.80/tcp/9000/p2p/16Uiu2HAmT6NWsUSvpBxCCHgB1CivgDo4ecgtGXTfm8jn2B6KNvYj,p2p,2020-10-07T14:11:52Z,,,,,,
,,info,Processing block batch of size 51 starting from  0xeb0a7856,576,461158, 10h19m3s,,initial-sync,2020-10-07T14:11:54Z,,,12.4,16,,
18,2,info,Peer connected,,,,/ip4/92.0.73.35/tcp/9151/p2p/16Uiu2HAmT7TpMPVkZhHg5WM6voV8XpHoZ5k8uDAiY24Niqkakvcp,p2p,2020-10-07T14:11:57Z,,,,,,
,,info,Processing block batch of size 50 starting from  0x9f3af8c4,640,461159, 10h14m1s,,initial-sync,2020-10-07T14:11:59Z,,,12.5,17,,
22,2,info,Peer connected,,,,/ip4/81.166.70.210/tcp/13020/p2p/16Uiu2HAmS3GGdznKQ6TYfnCW2q5LuKpmsHFq35BQu3fDM5fXXPNy,p2p,2020-10-07T14:12:00Z,,,,,,
23,,info,Peer disconnected,,,,/ip4/80.241.216.122/tcp/9000/p2p/16Uiu2HAkzYvRiXmHvnhiKeUNeUFAB98xxnjZjGMc3jj64gqgYxHE,p2p,2020-10-07T14:12:01Z,,,,,,
22,,info,Peer disconnected,,,,/ip4/92.0.73.35/tcp/9151/p2p/16Uiu2HAmT7TpMPVkZhHg5WM6voV8XpHoZ5k8uDAiY24Niqkakvcp,p2p,2020-10-07T14:12:02Z,,,,,,
,,info,Processing block batch of size 49 starting from  0x3766c761,704,461159, 10h11m29s,,initial-sync,2020-10-07T14:12:03Z,,,12.6,14,,
20,2,info,Peer connected,,,,/ip4/95.217.215.48/tcp/9000/p2p/16Uiu2HAm3qsi8ycCkP9FoWMyN9mdudkhGvRSSYCUPYAZj46MMgjQ,p2p,2020-10-07T14:12:04Z,,,,,,
19,2,info,Peer connected,,,,/ip4/73.4.108.166/tcp/9001/p2p/16Uiu2HAmNQ9JTkXGnakj697Thxo5YsJLUugagG1g34yYvwVA5szr,p2p,2020-10-07T14:12:05Z,,,,,,
,,info,Processing block batch of size 49 starting from  0x29019ba4,768,461160, 10h18m48s,,initial-sync,2020-10-07T14:12:08Z,,,12.4,16,,
,,info,Processing block batch of size 49 starting from  0x82a8e5f6,832,461160, 10h18m43s,,initial-sync,2020-10-07T14:12:13Z,,,12.4,16,,
16,,info,Peer disconnected,,,,/ip4/95.217.215.48/tcp/9000/p2p/16Uiu2HAm3qsi8ycCkP9FoWMyN9mdudkhGvRSSYCUPYAZj46MMgjQ,p2p,2020-10-07T14:12:16Z,,,,,,
,,info,Processing block batch of size 44 starting from  0xc718a965,896,461160, 10h36m36s,,initial-sync,2020-10-07T14:12:16Z,,,12.1,15,,
,,info,Processing block batch of size 47 starting from  0xc456f64b,961,461161, 10h44m32s,,initial-sync,2020-10-07T14:12:20Z,,,11.9,15,,
,,info,Processing block batch of size 46 starting from  0x6b0db8f4,1024,461161, 10h52m40s,,initial-sync,2020-10-07T14:12:24Z,,,11.8,15,,
,,info,Processing block batch of size 50 starting from  0x65ec4848,1088,461161, 10h49m49s,,initial-sync,2020-10-07T14:12:29Z,,,11.8,15,,
,,info,Processing block batch of size 53 starting from  0x2cb745bf,1152,461162, 10h38m54s,,initial-sync,2020-10-07T14:12:35Z,,,12,15,,
17,2,info,Peer connected,,,,/ip4/67.160.227.164/tcp/9000/p2p/16Uiu2HAm8XUq5VtUNh892zsBq49mt9QqSQiGsANmP3Dd6gDqQs1T,p2p,2020-10-07T14:12:35Z,,,,,,
,,info,Processing block batch of size 50 starting from  0x5ebd177b,1217,461162, 10h23m13s,,initial-sync,2020-10-07T14:12:38Z,,,12.3,16,,
17,2,info,Peer connected,,,,/ip4/13.237.250.76/tcp/9001/p2p/16Uiu2HAm3oDubXvZFHGBuwBC3pGaBxKNyAMpMpkLq5VMs4ohujQF,p2p,2020-10-07T14:12:38Z,,,,,,
,,info,Processing block batch of size 46 starting from  0x285a290c,1280,461162, 10h25m41s,,initial-sync,2020-10-07T14:12:43Z,,,12.2,17,,
22,2,info,Peer connected,,,,/ip4/160.86.146.228/tcp/9000/p2p/16Uiu2HAmFWASHtpgRRu7U9cM9sWxk2ctjFfvZHSxuvJXURTdUfAr,p2p,2020-10-07T14:12:46Z,,,,,,
,,info,Processing block batch of size 47 starting from  0x296dfce2,1344,461163, 10h23m3s,,initial-sync,2020-10-07T14:12:47Z,,,12.3,18,,
22,2,info,Peer connected,,,,/ip4/24.90.94.214/tcp/9000/p2p/16Uiu2HAm6nAPWiy6NysLY5xpnhbAPvGApjSfNdwvo5Pncsmbpio8,p2p,2020-10-07T14:12:47Z,,,,,,
22,2,info,Peer connected,,,,/ip4/164.68.118.3/tcp/9000/p2p/16Uiu2HAmBNywnWFVkXzGMp98UBA3JdcEP1HkqpSEWJ4SqXhgoTSN,p2p,2020-10-07T14:12:48Z,,,,,,
22,2,info,Peer connected,,,,/ip4/128.199.3.152/tcp/9000/p2p/16Uiu2HAm2e6mFf4QiW3689HESncwsEdWpCKtYZ1NPH7kZvoFUGmb,p2p,2020-10-07T14:12:49Z,,,,,,
22,2,info,Peer connected,,,,/ip4/67.203.1.170/tcp/9000/p2p/16Uiu2HAkxrG8es9GWEDT18HMcBiaLV2krz6upE8r6qnEoDF8NYj1,p2p,2020-10-07T14:12:49Z,,,,,,
,,info,Processing block batch of size 45 starting from  0xffb7243c,1408,461163, 10h35m53s,,initial-sync,2020-10-07T14:12:51Z,,,12.1,22,,
27,2,info,Peer connected,,,,/ip4/195.201.218.60/tcp/9001/p2p/16Uiu2HAm1orDbZmAuFNBNXEsPivwStg9vptra56aUGiC6ZRc4SCh,p2p,2020-10-07T14:12:52Z,,,,,,
,,info,Processing block batch of size 58 starting from  0xa8162586,1473,461163, 10h22m53s,,initial-sync,2020-10-07T14:12:55Z,,,12.3,23,,
28,2,info,Peer connected,,,,/ip4/92.0.73.35/tcp/9151/p2p/16Uiu2HAmT7TpMPVkZhHg5WM6voV8XpHoZ5k8uDAiY24Niqkakvcp,p2p,2020-10-07T14:12:57Z,,,,,,
28,2,info,Peer connected,,,,/ip4/207.180.225.152/tcp/9001/p2p/16Uiu2HAm567FKU8VixGKMcLK7TzLUL6XHDF7aF73qB2CaNBbvAC8,p2p,2020-10-07T14:12:57Z,,,,,,
28,2,info,Peer connected,,,,/ip4/35.225.150.13/tcp/9001/p2p/16Uiu2HAkyvaX5KHZ5LzCJQHSeGMVRqs3C9mrgy34gY65WYzLSTkP,p2p,2020-10-07T14:12:57Z,,,,,,
,,info,Processing block batch of size 49 starting from  0x952aa2f1,1536,461164, 10h25m20s,,initial-sync,2020-10-07T14:13:00Z,,,12.2,26,,
27,2,info,Peer connected,,,,/ip4/5.135.123.161/tcp/13000/p2p/16Uiu2HAm2jvdAcgcnCTPKSfcgBQqLXqtgQMGKEtyQZKnhkdpoWWu,p2p,2020-10-07T14:13:01Z,,,,,,
28,,info,Peer disconnected,,,,/ip4/92.0.73.35/tcp/9151/p2p/16Uiu2HAmT7TpMPVkZhHg5WM6voV8XpHoZ5k8uDAiY24Niqkakvcp,p2p,2020-10-07T14:13:02Z,,,,,,
27,,info,Peer disconnected,,,,/ip4/35.225.150.13/tcp/9001/p2p/16Uiu2HAkyvaX5KHZ5LzCJQHSeGMVRqs3C9mrgy34gY65WYzLSTkP,p2p,2020-10-07T14:13:02Z,,,,,,
29,2,info,Peer connected,,,,/ip4/95.217.12.192/tcp/9000/p2p/16Uiu2HAmHqM4TrijBEy8VJfXDNEdF63nbhY7adqqJUJXwacFpFYV,p2p,2020-10-07T14:13:02Z,,,,,,
,,info,Processing block batch of size 49 starting from  0x1098a4bd,1600,461164, 10h17m41s,,initial-sync,2020-10-07T14:13:03Z,,,12.4,26,,
29,,info,Peer disconnected,,,,/ip4/24.90.94.214/tcp/9000/p2p/16Uiu2HAm6nAPWiy6NysLY5xpnhbAPvGApjSfNdwvo5Pncsmbpio8,p2p,2020-10-07T14:13:05Z,,,,,,
28,2,info,Peer connected,,,,/ip4/73.149.55.243/tcp/9005/p2p/16Uiu2HAmP6fUdiF5BMk3EYfUBwFnvY7sP1DsfBGNasFdSDPyG4wG,p2p,2020-10-07T14:13:07Z,,,,,,
,,info,Processing block batch of size 43 starting from  0x7dba29ed,1664,461165, 10h27m44s,,initial-sync,2020-10-07T14:13:08Z,,,12.2,26,,
27,2,info,Peer connected,,,,/ip4/128.199.247.137/tcp/9000/p2p/16Uiu2HAmMUg4kxaAi3K9bXRB2WnFDHN4Q74a3cn6EqajnsQiVWQw,p2p,2020-10-07T14:13:11Z,,,,,,
,,info,Processing block batch of size 57 starting from  0x6c593822,1728,461165, 9h58m13s,,initial-sync,2020-10-07T14:13:12Z,,,12.8,27,,
,,info,Processing block batch of size 54 starting from  0xb7898e91,1792,461165, 10h7m38s,,initial-sync,2020-10-07T14:13:17Z,,,12.6,27,,
28,2,info,Peer connected,,,,/ip4/34.91.184.188/tcp/9000/p2p/16Uiu2HAm7kEaADPrJbiSzh7qrtbSc2PDWFH6HKpUypgnjsZTJJPx,p2p,2020-10-07T14:13:18Z,,,,,,
,,info,Processing block batch of size 57 starting from  0x155003a6,1856,461166, 9h48m51s,,initial-sync,2020-10-07T14:13:22Z,,,13,28,,
29,,info,Peer disconnected,,,,/ip4/128.199.247.137/tcp/9000/p2p/16Uiu2HAmMUg4kxaAi3K9bXRB2WnFDHN4Q74a3cn6EqajnsQiVWQw,p2p,2020-10-07T14:13:25Z,,,,,,
,,info,Processing block batch of size 51 starting from  0x6d70bdfb,1920,461166, 9h44m16s,,initial-sync,2020-10-07T14:13:26Z,,,13.1,27,,
29,2,info,Peer connected,,,,/ip4/116.87.113.179/tcp/9000/p2p/16Uiu2HAmCHBsdwnxR4exFqFzrdzkQGVdncPGVYWp8Udd9ipCGmB3,p2p,2020-10-07T14:13:28Z,,,,,,
,,info,Processing block batch of size 56 starting from  0x9c8e13eb,1984,461166, 9h16m35s,,initial-sync,2020-10-07T14:13:30Z,,,13.8,28,,
35,,info,Peer disconnected,,,,/ip4/77.21.86.116/tcp/9000/p2p/16Uiu2HAmFYMVzKz9wC2JfiMPZodA322v5iV9HAwnETnwHM5m53Gy,p2p,2020-10-07T14:13:34Z,,,,,,
34,,info,Peer disconnected,,,,/ip4/145.132.173.251/tcp/9040/p2p/16Uiu2HAm1TZ4jyney42Cjoqzhh1Nn789tMUkrTKVWnqNhaJArLbo,p2p,2020-10-07T14:13:34Z,,,,,,
,,info,Processing block batch of size 55 starting from  0x17f020fa,2048,461167, 9h20m35s,,initial-sync,2020-10-07T14:13:35Z,,,13.7,26,,
32,2,info,Peer connected,,,,/ip4/159.69.95.171/tcp/9000/p2p/16Uiu2HAmEaEMmKTpqMVbmAywKkG4dSdoBug5mSSQ2R88mKsRCBKM,p2p,2020-10-07T14:13:36Z,,,,,,
32,2,info,Peer connected,,,,/ip4/81.169.138.112/tcp/9000/p2p/16Uiu2HAmHPvpL8SPW6gRxaMcuwo56RyZHcSBhpv7ca9cavxuDecE,p2p,2020-10-07T14:13:36Z,,,,,,
30,2,info,Peer connected,,,,/ip4/173.249.50.221/tcp/9000/p2p/16Uiu2HAmT1Ww1xBA521fFoq8ik5UtEhYrf7GctoUwpGApYfRwePU,p2p,2020-10-07T14:13:37Z,,,,,,
,,info,Processing block batch of size 51 starting from  0xd360b01e,2112,461167, 9h26m44s,,initial-sync,2020-10-07T14:13:38Z,,,13.5,29,,
,,info,Saved state in DB,,,,,state-gen,2020-10-07T14:13:43Z,,,,,17f020fae2cf,2048
,,info,Processing block batch of size 52 starting from  0xf55eb62c,2178,461167, 9h37m20s,,initial-sync,2020-10-07T14:13:43Z,,,13.2,29,,
,,info,Processing block batch of size 50 starting from  0xe4418350,2240,461168, 9h39m27s,,initial-sync,2020-10-07T14:13:47Z,,,13.2,29,,
31,2,info,Peer connected,,,,/ip4/167.172.33.116/tcp/9000/p2p/16Uiu2HAmCAoQCp6jvcD8U9xW5oJqYvMruGy82PkwDJRPZknPeT3L,p2p,2020-10-07T14:13:49Z,,,,,,
,,info,Processing block batch of size 53 starting from  0x27400ef2,2304,461168, 9h46m1s,,initial-sync,2020-10-07T14:13:52Z,,,13.1,30,,
,,info,Processing block batch of size 49 starting from  0x7017f7c1,2370,461168, 9h59m44s,,initial-sync,2020-10-07T14:13:55Z,,,12.8,30,,
,,info,Processing block batch of size 50 starting from  0x5b93b849,2432,461169, 10h2m1s,,initial-sync,2020-10-07T14:14:00Z,,,12.7,30,,
,,info,Processing block batch of size 50 starting from  0x80acc274,2497,461169, 10h6m42s,,initial-sync,2020-10-07T14:14:04Z,,,12.6,30,,
29,,info,Peer disconnected,,,,/ip4/128.199.3.152/tcp/9000/p2p/16Uiu2HAm2e6mFf4QiW3689HESncwsEdWpCKtYZ1NPH7kZvoFUGmb,p2p,2020-10-07T14:14:06Z,,,,,,
,,info,Processing block batch of size 46 starting from  0xd32fb198,2560,461170, 10h16m24s,,initial-sync,2020-10-07T14:14:08Z,,,12.4,29,,
28,,info,Peer disconnected,,,,/ip4/95.217.12.192/tcp/9000/p2p/16Uiu2HAmHqM4TrijBEy8VJfXDNEdF63nbhY7adqqJUJXwacFpFYV,p2p,2020-10-07T14:14:10Z,,,,,,
,,info,Processing block batch of size 43 starting from  0xec0d843b,2624,461170, 8h45m15s,,initial-sync,2020-10-07T14:14:11Z,,,14.6,28,,
27,,info,Peer disconnected,,,,/ip4/40.77.27.225/tcp/9000/p2p/16Uiu2HAmHA4qmKBmjnaYwacoymtrRLjZgFEnM8YPWvXDN2AnsdBL,p2p,2020-10-07T14:14:11Z,,,,,,
28,2,info,Peer connected,,,,/ip4/145.132.173.251/tcp/9040/p2p/16Uiu2HAm1TZ4jyney42Cjoqzhh1Nn789tMUkrTKVWnqNhaJArLbo,p2p,2020-10-07T14:14:12Z,,,,,,
,,info,Processing block batch of size 44 starting from  0xd28121d7,2688,461170, 9h1m56s,,initial-sync,2020-10-07T14:14:14Z,,,14.1,28,,
28,,info,Peer disconnected,,,,/ip4/73.4.108.166/tcp/9001/p2p/16Uiu2HAmNQ9JTkXGnakj697Thxo5YsJLUugagG1g34yYvwVA5szr,p2p,2020-10-07T14:14:15Z,,,,,,
27,,info,Peer disconnected,,,,/ip4/34.91.184.188/tcp/9000/p2p/16Uiu2HAm7kEaADPrJbiSzh7qrtbSc2PDWFH6HKpUypgnjsZTJJPx,p2p,2020-10-07T14:14:15Z,,,,,,
26,,info,Peer disconnected,,,,/ip4/159.69.95.171/tcp/9000/p2p/16Uiu2HAmEaEMmKTpqMVbmAywKkG4dSdoBug5mSSQ2R88mKsRCBKM,p2p,2020-10-07T14:14:16Z,,,,,,
,,info,Processing block batch of size 45 starting from  0xb1a570c8,2754,461170, 9h9m39s,,initial-sync,2020-10-07T14:14:16Z,,,13.9,25,,
,,info,Processing block batch of size 45 starting from  0x7227a183,2816,461170, 7h53m1s,,initial-sync,2020-10-07T14:14:19Z,,,16.1,25,,
26,2,info,Peer connected,,,,/ip4/24.90.94.214/tcp/9000/p2p/16Uiu2HAm6nAPWiy6NysLY5xpnhbAPvGApjSfNdwvo5Pncsmbpio8,p2p,2020-10-07T14:14:21Z,,,,,,
,,info,Processing block batch of size 46 starting from  0x5b8700b2,2880,461171, 7h58m52s,,initial-sync,2020-10-07T14:14:22Z,,,15.9,26,,
27,,info,Peer disconnected,,,,/ip4/13.237.250.76/tcp/9001/p2p/16Uiu2HAm3oDubXvZFHGBuwBC3pGaBxKNyAMpMpkLq5VMs4ohujQF,p2p,2020-10-07T14:14:24Z,,,,,,
,,info,Processing block batch of size 41 starting from  0x0065160c,2946,461171, 8h12m42s,,initial-sync,2020-10-07T14:14:25Z,,,15.5,25,,
,,info,Processing block batch of size 45 starting from  0xd17cd84e,3008,461171, 7h10m12s,,initial-sync,2020-10-07T14:14:27Z,,,17.8,25,,
,,info,Processing block batch of size 54 starting from  0xf720bb3d,3072,461171, 7h0m39s,,initial-sync,2020-10-07T14:14:29Z,,,18.1,25,,
,,info,Processing block batch of size 52 starting from  0x19acb250,3136,461172, 6h50m25s,,initial-sync,2020-10-07T14:14:33Z,,,18.6,25,,
,,info,Processing block batch of size 47 starting from  0x948f4f46,3201,461172, 6h47m5s,,initial-sync,2020-10-07T14:14:35Z,,,18.8,25,,
29,,info,Peer disconnected,,,,/ip4/24.90.94.214/tcp/9000/p2p/16Uiu2HAm6nAPWiy6NysLY5xpnhbAPvGApjSfNdwvo5Pncsmbpio8,p2p,2020-10-07T14:14:35Z,,,,,,
,,info,Processing block batch of size 54 starting from  0xf013a95b,3264,461172, 6h37m29s,,initial-sync,2020-10-07T14:14:37Z,,,19.2,24,,
,,info,Processing block batch of size 51 starting from  0x95c069b7,3328,461172, 6h31m19s,,initial-sync,2020-10-07T14:14:40Z,,,19.5,24,,
25,2,info,Peer connected,,,,/ip4/49.228.131.84/tcp/5442/p2p/16Uiu2HAmUSPfs2nuYWF2Z7hLRCfNwpyRXcqX9sRSzTaZTzCtrZYo,p2p,2020-10-07T14:14:42Z,,,,,,
,,info,Processing block batch of size 52 starting from  0x965ed04d,3392,461172, 6h25m20s,,initial-sync,2020-10-07T14:14:43Z,,,19.8,25,,
27,2,info,Peer connected,,,,/ip4/24.107.187.198/tcp/9000/p2p/16Uiu2HAmMGmgS2DLzS6fokP5WvyWLA9ECGFadLPns7H4hJHEzj1H,p2p,2020-10-07T14:14:46Z,,,,,,
,,info,Processing block batch of size 51 starting from  0x659b8ba6,3456,461173, 7h2m38s,,initial-sync,2020-10-07T14:14:47Z,,,18.1,26,,
,,info,Processing block batch of size 53 starting from  0x4a0817fb,3520,461173, 7h3m45s,,initial-sync,2020-10-07T14:14:50Z,,,18,26,,
,,info,Processing block batch of size 56 starting from  0x4f7470a6,3584,461173, 6h59m2s,,initial-sync,2020-10-07T14:14:52Z,,,18.2,26,,
27,2,info,Peer connected,,,,/ip4/82.248.90.211/tcp/9000/p2p/16Uiu2HAkyEXSWqhgTweFi7GJcW3VZcoEn2qjMUZK3sAwXz4NsRC8,p2p,2020-10-07T14:14:53Z,,,,,,
,,info,Processing block batch of size 55 starting from  0x0def2db4,3648,461173, 6h49m58s,,initial-sync,2020-10-07T14:14:55Z,,,18.6,27,,
26,,info,Peer disconnected,,,,/ip4/45.77.124.125/tcp/9000/p2p/16Uiu2HAkvmijirSgjzau6Ajm7YNT3axj8T1z62QTZgFgcVeWjEhz,p2p,2020-10-07T14:14:55Z,,,,,,
,,info,Processing block batch of size 49 starting from  0x5da33d4b,3712,461174, 6h55m29s,,initial-sync,2020-10-07T14:14:59Z,,,18.4,26,,
31,2,info,Peer connected,,,,/ip4/159.203.181.204/tcp/9000/p2p/16Uiu2HAkxK5HuFA2T9rkSC5qFMuHS23GSeaaVFpro2d62jSRu5ec,p2p,2020-10-07T14:15:02Z,,,,,,
30,,info,Peer disconnected,,,,/ip4/159.203.181.204/tcp/9000/p2p/16Uiu2HAkxK5HuFA2T9rkSC5qFMuHS23GSeaaVFpro2d62jSRu5ec,p2p,2020-10-07T14:15:02Z,,,,,,
,,info,Processing block batch of size 45 starting from  0x935bf68a,3776,461174, 8h13m25s,,initial-sync,2020-10-07T14:15:03Z,,,15.4,26,,
30,,info,Peer disconnected,,,,/ip4/145.132.173.251/tcp/9040/p2p/16Uiu2HAm1TZ4jyney42Cjoqzhh1Nn789tMUkrTKVWnqNhaJArLbo,p2p,2020-10-07T14:15:04Z,,,,,,
30,2,info,Peer connected,,,,/ip4/64.227.105.216/tcp/9001/p2p/16Uiu2HAmKKLEdMwrfxaryA6L26yzQarXz7iGCvdfA3RJSqx4rD5e,p2p,2020-10-07T14:15:05Z,,,,,,
29,,info,Peer disconnected,,,,/ip4/64.227.105.216/tcp/9001/p2p/16Uiu2HAmKKLEdMwrfxaryA6L26yzQarXz7iGCvdfA3RJSqx4rD5e,p2p,2020-10-07T14:15:05Z,,,,,,
,,info,Processing block batch of size 55 starting from  0xa25ca59b,3840,461174, 8h7m2s,,initial-sync,2020-10-07T14:15:07Z,,,15.7,25,,
29,2,info,Peer connected,,,,/ip4/75.163.53.27/tcp/9000/p2p/16Uiu2HAm9ZW66W9L8fDqiBPHGUPP5xM15eVD78zJVHmMbStBt2mF,p2p,2020-10-07T14:15:07Z,,,,,,
,,info,Processing block batch of size 53 starting from  0x088dee34,3904,461175, 8h6m58s,,initial-sync,2020-10-07T14:15:10Z,,,15.7,26,,
,,info,Processing block batch of size 57 starting from  0xc5d52f66,3968,461175, 8h5m21s,,initial-sync,2020-10-07T14:15:13Z,,,15.7,26,,
32,2,info,Peer connected,,,,/ip4/95.111.255.54/tcp/13000/p2p/16Uiu2HAkwT46YrJUdvjC6P1H33GLLTxDBSzAr7NR8URAXrKBrbik,p2p,2020-10-07T14:15:16Z,,,,,,
,,info,Processing block batch of size 55 starting from  0x703953b5,4032,461175, 8h5m17s,,initial-sync,2020-10-07T14:15:16Z,,,15.7,26,,
35,,info,Peer disconnected,,,,/ip4/67.160.227.164/tcp/9000/p2p/16Uiu2HAm8XUq5VtUNh892zsBq49mt9QqSQiGsANmP3Dd6gDqQs1T,p2p,2020-10-07T14:15:16Z,,,,,,
35,2,info,Peer connected,,,,/ip4/74.88.231.176/tcp/9000/p2p/16Uiu2HAmUrDSDW3ZfSmKqeChGhNzhKFBvxS53ewjPsEpPeYmqSee,p2p,2020-10-07T14:15:17Z,,,,,,
,,info,Processing block batch of size 51 starting from  0x8dcfd541,4096,461175, 8h2m9s,,initial-sync,2020-10-07T14:15:19Z,,,15.8,26,,
32,2,info,Peer connected,,,,/ip4/92.0.73.35/tcp/9000/p2p/16Uiu2HAmHASD8XGLzsm17dqhAAKtUomfztrVFyfHTEnp7Dq8AwVb,p2p,2020-10-07T14:15:21Z,,,,,,
32,2,info,Peer connected,,,,/ip4/51.210.9.77/tcp/9000/p2p/16Uiu2HAmKz9RsaA48TkM6Y4FMUpGa733DBcQiJTU8zcsvfG1DB4z,p2p,2020-10-07T14:15:21Z,,,,,,
32,2,info,Peer connected,,,,/ip4/51.38.81.165/tcp/9001/p2p/16Uiu2HAkw7M9u3vHLmJMXpeKY44ev32J9dHEr99KbzfH3bprYMF6,p2p,2020-10-07T14:15:21Z,,,,,,
32,2,info,Peer connected,,,,/ip4/143.178.151.183/tcp/9000/p2p/16Uiu2HAkwd9d3npKmu7tpBYVfYWRwg38iu7xKtczGz6RGhWPa9K2,p2p,2020-10-07T14:15:21Z,,,,,,
,,info,Processing block batch of size 52 starting from  0xbda47b78,4160,461176, 6h53m57s,,initial-sync,2020-10-07T14:15:22Z,,,18.4,30,,
