2020-10-11 00:05:00.793+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485724, Block: 2d9bba..4b49, Epoch: 15178, Finalized checkpoint: 15175, Finalized root: 0e6c38..057c, Peers: 25[0m
2020-10-11 00:05:12.808+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485725, Block: 0eb4cf..fd26, Epoch: 15178, Finalized checkpoint: 15175, Finalized root: 0e6c38..057c, Peers: 25[0m
2020-10-11 00:05:24.798+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485726, Block: 01d289..ff2e, Epoch: 15178, Finalized checkpoint: 15175, Finalized root: 0e6c38..057c, Peers: 25[0m
2020-10-11 00:05:36.808+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485727, Block: 878c5d..1654, Epoch: 15178, Finalized checkpoint: 15175, Finalized root: 0e6c38..057c, Peers: 25[0m
2020-10-11 00:05:44.139+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [32mEpoch Event *** Epoch: 15179, Justified checkpoint: 15177, Finalized checkpoint: 15175, Finalized root: 0e6c38..057c[0m
2020-10-11 00:05:53.921+00:00 | forkchoice-0 | INFO  | ForkChoice | Skipping head block update as justified checkpoint was updated while loading checkpoint state. Was 15177 (0x51eed279a1c3736d7147618ed3f42b9a9a6cd81e655dc9353d38dd9dfdfc96c2) but now 15178 (0x18466e90077ec9a6c908196224923daaf56ca3372817f2a16f0dae45bae15641)
2020-10-11 00:05:53.921+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485728, Block: c82626..182b, Epoch: 15179, Finalized checkpoint: 15177, Finalized root: 51eed2..96c2, Peers: 25[0m
2020-10-11 00:06:00.802+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485729, Block:    ... empty, Epoch: 15179, Finalized checkpoint: 15177, Finalized root: 51eed2..96c2, Peers: 25[0m
2020-10-11 00:06:12.803+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485730, Block: 15af59..9aa2, Epoch: 15179, Finalized checkpoint: 15177, Finalized root: 51eed2..96c2, Peers: 25[0m
2020-10-11 00:06:24.718+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485731, Block: dfb468..110a, Epoch: 15179, Finalized checkpoint: 15177, Finalized root: 51eed2..96c2, Peers: 25[0m
2020-10-11 00:06:36.792+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485732, Block: 891853..1809, Epoch: 15179, Finalized checkpoint: 15177, Finalized root: 51eed2..96c2, Peers: 25[0m
2020-10-11 00:06:48.789+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485733, Block:    ... empty, Epoch: 15179, Finalized checkpoint: 15177, Finalized root: 51eed2..96c2, Peers: 25[0m
2020-10-11 00:07:00.801+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485734, Block: 9ce44d..6655, Epoch: 15179, Finalized checkpoint: 15177, Finalized root: 51eed2..96c2, Peers: 25[0m
2020-10-11 00:07:12.788+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485735, Block:    ... empty, Epoch: 15179, Finalized checkpoint: 15177, Finalized root: 51eed2..96c2, Peers: 25[0m
