datetime,current_slot,head_slot,connected_peer
Oct-11 23:42:44,492813,18091,10
Oct-11 23:42:56,492814,18204,10
Oct-11 23:43:09,492815,18304,10
Oct-11 23:43:20,492816,18414,10
Oct-11 23:43:33,492817,18414,10
Oct-11 23:43:44,492818,18624,10
Oct-11 23:43:56,492819,18735,11
Oct-11 23:44:09,492820,18735,10
Oct-11 23:44:20,492821,18944,10
Oct-11 23:44:32,492822,19068,10
Oct-11 23:44:45,492823,19068,10
Oct-11 23:44:57,492824,19264,10
Oct-11 23:45:08,492825,19360,10
Oct-11 23:45:20,492826,19487,10
Oct-11 23:45:32,492827,19584,10
Oct-11 23:45:46,492828,19584,10
Oct-11 23:45:56,492829,19808,10
Oct-11 23:46:09,492830,19937,10
Oct-11 23:46:20,492831,20051,10
Oct-11 23:46:34,492832,20163,10
Oct-11 23:46:44,492833,20257,10
Oct-11 23:46:56,492834,20379,10
Oct-11 23:47:08,492835,20487,10
Oct-11 23:47:20,492836,20615,10
Oct-11 23:47:32,492837,20736,10
Oct-11 23:47:45,492838,20736,10
Oct-11 23:47:56,492839,20961,12
Oct-11 23:48:08,492840,21083,12
Oct-11 23:48:20,492841,21188,12
Oct-11 23:48:32,492842,21285,12
Oct-11 23:48:45,492843,21285,12
Oct-11 23:48:56,492844,21504,12
Oct-11 23:49:08,492845,21608,12
Oct-11 23:49:20,492846,21718,12
Oct-11 23:49:33,492847,21838,12
Oct-11 23:49:45,492848,21920,12
Oct-11 23:49:56,492849,22018,13
Oct-11 23:50:09,492850,22113,13
Oct-11 23:50:20,492851,22209,13
Oct-11 23:50:33,492852,22316,13
Oct-11 23:50:46,492853,22408,13
Oct-11 23:50:57,492854,22496,13
Oct-11 23:51:08,492855,22593,13
Oct-11 23:51:20,492856,22688,13
Oct-11 23:51:32,492857,22802,13
Oct-11 23:51:45,492858,22802,13
Oct-11 23:51:56,492859,23008,13
Oct-11 23:52:09,492860,23008,13
Oct-11 23:52:20,492861,23232,13
Oct-11 23:52:32,492862,23328,13
Oct-11 23:52:44,492863,23448,13
Oct-11 23:52:57,492864,23448,13
Oct-11 23:53:08,492865,23660,13
Oct-11 23:53:20,492866,23773,13
Oct-11 23:53:33,492867,23880,13
Oct-11 23:53:44,492868,23981,13
Oct-11 23:53:57,492869,24096,13
Oct-11 23:54:08,492870,24200,13
Oct-11 23:54:20,492871,24287,12
Oct-11 23:54:32,492872,24385,12
Oct-11 23:54:45,492873,24512,12
Oct-11 23:54:58,492874,24512,12
Oct-11 23:55:09,492875,24736,12
Oct-11 23:55:21,492876,24736,12
Oct-11 23:55:32,492877,24938,12
Oct-11 23:55:45,492878,25056,12
Oct-11 23:55:56,492879,25163,12
Oct-11 23:56:09,492880,25282,11
Oct-11 23:56:20,492881,25396,11
Oct-11 23:56:32,492882,25504,11
Oct-11 23:56:45,492883,25504,11
Oct-11 23:56:57,492884,25729,11
Oct-11 23:57:08,492885,25838,11
Oct-11 23:57:20,492886,25943,11
Oct-11 23:57:33,492887,26049,11
Oct-11 23:57:44,492888,26144,11
Oct-11 23:57:56,492889,26255,12
