datetime,est_time,speed,distance_in_slots,peers
Oct 07 23:59:02, 4 hrs 32 mins, speed: 26.67 slots/sec,435806, peers: 21
Oct 07 23:59:14, 3 hrs 46 mins, speed: 32.00 slots/sec,435295, peers: 20
Oct 07 23:59:26, 4 hrs 32 mins, speed: 26.65 slots/sec,435041, peers: 21
Oct 07 23:59:38, 3 hrs 46 mins, speed: 32.04 slots/sec,434529, peers: 19
Oct 07 23:59:50, 3 hrs 46 mins, speed: 32.00 slots/sec,434274, peers: 19
Oct 08 00:00:02, 3 hrs 45 mins, speed: 32.00 slots/sec,433763, peers: 19
Oct 08 00:00:14, 3 hrs 45 mins, speed: 32.02 slots/sec,433508, peers: 18
Oct 08 00:00:26, 3 hrs 45 mins, speed: 32.00 slots/sec,432997, peers: 22
Oct 08 00:00:38, 3 hrs 45 mins, speed: 31.98 slots/sec,432743, peers: 22
Oct 08 00:00:50, 3 hrs 45 mins, speed: 32.00 slots/sec,432231, peers: 21
Oct 08 00:01:02, 3 hrs 12 mins, speed: 37.29 slots/sec,431722, peers: 20
Oct 08 00:01:14, 3 hrs 44 mins, speed: 31.98 slots/sec,431466, peers: 18
Oct 08 00:01:26, 3 hrs 44 mins, speed: 32.02 slots/sec,431210, peers: 22
Oct 08 00:01:38, 3 hrs 44 mins, speed: 32.00 slots/sec,430699, peers: 27
Oct 08 00:01:50, 5 hrs 35 mins, speed: 21.38 slots/sec,430700, peers: 27
Oct 08 00:02:02, 4 hrs 42 mins, speed: 25.36 slots/sec,430253, peers: 26
Oct 08 00:02:14, 4 hrs 43 mins, speed: 25.31 slots/sec,429999, peers: 25
Oct 08 00:02:26, 4 hrs 42 mins, speed: 25.33 slots/sec,429487, peers: 27
Oct 08 00:02:38, 3 hrs 53 mins, speed: 30.65 slots/sec,429233, peers: 27
Oct 08 00:02:50, 3 hrs 43 mins, speed: 32.00 slots/sec,428721, peers: 31
Oct 08 00:03:02, 3 hrs 43 mins, speed: 32.02 slots/sec,428466, peers: 29
Oct 08 00:03:14, 3 hrs 42 mins, speed: 32.00 slots/sec,427955, peers: 28
Oct 08 00:03:26, 3 hrs 42 mins, speed: 31.98 slots/sec,427702, peers: 32
Oct 08 00:03:38, 3 hrs 42 mins, speed: 32.00 slots/sec,427189, peers: 30
Oct 08 00:03:50, 3 hrs 10 mins, speed: 37.33 slots/sec,426678, peers: 29
Oct 08 00:04:02, 3 hrs 42 mins, speed: 32.00 slots/sec,426423, peers: 28
Oct 08 00:04:14, 3 hrs 41 mins, speed: 32.02 slots/sec,426169, peers: 33
Oct 08 00:04:26, 3 hrs 41 mins, speed: 32.00 slots/sec,425657, peers: 31
Oct 08 00:04:38, 4 hrs 25 mins, speed: 26.67 slots/sec,425402, peers: 31
Oct 08 00:04:50, 3 hrs 41 mins, speed: 31.98 slots/sec,424892, peers: 31
Oct 08 00:05:02, 3 hrs 41 mins, speed: 32.02 slots/sec,424636, peers: 28
Oct 08 00:05:14, 3 hrs 40 mins, speed: 32.00 slots/sec,424125, peers: 30
Oct 08 00:05:26, 3 hrs 40 mins, speed: 32.00 slots/sec,423870, peers: 28
Oct 08 00:05:38, 3 hrs 40 mins, speed: 32.02 slots/sec,423359, peers: 27
Oct 08 00:05:50, 3 hrs 40 mins, speed: 32.00 slots/sec,423104, peers: 25
Oct 08 00:06:02, 4 hrs 24 mins, speed: 26.67 slots/sec,422849, peers: 25
Oct 08 00:06:14, 4 hrs 24 mins, speed: 26.67 slots/sec,422594, peers: 25
Oct 08 00:06:26, 5 hrs 30 mins, speed: 21.31 slots/sec,422340, peers: 28
Oct 08 00:06:38, 4 hrs 23 mins, speed: 26.67 slots/sec,421828, peers: 27
Oct 08 00:06:50, 4 hrs 23 mins, speed: 26.65 slots/sec,421574, peers: 30
Oct 08 00:07:02, 4 hrs 23 mins, speed: 26.67 slots/sec,421318, peers: 29
Oct 08 00:07:14, 3 hrs 39 mins, speed: 32.02 slots/sec,420807, peers: 30
Oct 08 00:07:26, 4 hrs 22 mins, speed: 26.67 slots/sec,420552, peers: 29
Oct 08 00:07:38, 4 hrs 22 mins, speed: 26.69 slots/sec,420297, peers: 28
Oct 08 00:07:50, 3 hrs 38 mins, speed: 31.98 slots/sec,419787, peers: 33
Oct 08 00:08:02, 4 hrs 22 mins, speed: 26.67 slots/sec,419531, peers: 33
Oct 08 00:08:14, 4 hrs 22 mins, speed: 26.65 slots/sec,419277, peers: 35
Oct 08 00:08:26, 4 hrs 21 mins, speed: 26.67 slots/sec,419021, peers: 34
Oct 08 00:08:38, 4 hrs 35 mins, speed: 25.36 slots/sec,418574, peers: 31
Oct 08 00:08:50, 4 hrs 35 mins, speed: 25.33 slots/sec,418319, peers: 33
Oct 08 00:09:02, 3 hrs 47 mins, speed: 30.67 slots/sec,417809, peers: 32
Oct 08 00:09:14, 3 hrs 47 mins, speed: 30.63 slots/sec,417555, peers: 30
Oct 08 00:09:26, 4 hrs 20 mins, speed: 26.67 slots/sec,417298, peers: 36
Oct 08 00:09:38, 5 hrs 26 mins, speed: 21.33 slots/sec,417299, peers: 35
Oct 08 00:09:50, 10 hrs 50 mins, speed: 10.69 slots/sec,417300, peers: 33
Oct 08 00:10:02, 10 hrs 49 mins, speed: 10.71 slots/sec,417045, peers: 37
Oct 08 00:10:14, 10 hrs 51 mins, speed: 10.67 slots/sec,416790, peers: 36
Oct 08 00:10:26, 7 hrs 13 mins, speed: 16.00 slots/sec,416535, peers: 36
Oct 08 00:10:38, 5 hrs 25 mins, speed: 21.33 slots/sec,416280, peers: 34
Oct 08 00:10:50, 4 hrs 19 mins, speed: 26.67 slots/sec,415769, peers: 32
Oct 08 00:11:02, 4 hrs 19 mins, speed: 26.65 slots/sec,415515, peers: 31
Oct 08 00:11:14, 4 hrs 19 mins, speed: 26.67 slots/sec,415259, peers: 32
Oct 08 00:11:26, 4 hrs 19 mins, speed: 26.67 slots/sec,415004, peers: 31
Oct 08 00:11:38, 4 hrs 19 mins, speed: 26.67 slots/sec,414493, peers: 28
Oct 08 00:11:50, 4 hrs 18 mins, speed: 26.69 slots/sec,414238, peers: 31
Oct 08 00:12:02, 4 hrs 18 mins, speed: 26.67 slots/sec,413983, peers: 29
Oct 08 00:12:14, 4 hrs 18 mins, speed: 26.67 slots/sec,413728, peers: 32
Oct 08 00:12:26, 5 hrs 23 mins, speed: 21.33 slots/sec,413473, peers: 32
Oct 08 00:12:38, 5 hrs 22 mins, speed: 21.33 slots/sec,413218, peers: 31
Oct 08 00:12:50, 5 hrs 22 mins, speed: 21.31 slots/sec,412964, peers: 35
Oct 08 00:13:02, 5 hrs 22 mins, speed: 21.33 slots/sec,412708, peers: 35
Oct 08 00:13:14, 4 hrs 17 mins, speed: 26.67 slots/sec,412197, peers: 36
Oct 08 00:13:26, 4 hrs 17 mins, speed: 26.67 slots/sec,411942, peers: 39
Oct 08 00:13:38, 4 hrs 17 mins, speed: 26.68 slots/sec,411687, peers: 38
Oct 08 00:13:50, 4 hrs 17 mins, speed: 26.65 slots/sec,411433, peers: 38
Oct 08 00:14:02, 4 hrs 17 mins, speed: 26.65 slots/sec,410922, peers: 37
Oct 08 00:14:14, 4 hrs 16 mins, speed: 26.67 slots/sec,410666, peers: 39
Oct 08 00:14:26, 4 hrs 16 mins, speed: 26.67 slots/sec,410411, peers: 39
Oct 08 00:14:38, 4 hrs 16 mins, speed: 26.69 slots/sec,410156, peers: 38
Oct 08 00:14:50, 5 hrs 19 mins, speed: 21.36 slots/sec,409901, peers: 38
Oct 08 00:15:02, 5 hrs 20 mins, speed: 21.33 slots/sec,409646, peers: 43
Oct 08 00:15:14, 5 hrs 52 mins, speed: 19.33 slots/sec,409487, peers: 41
Oct 08 00:15:26, 5 hrs 53 mins, speed: 19.29 slots/sec,409234, peers: 37
Oct 08 00:15:38, 4 hrs 36 mins, speed: 24.67 slots/sec,408721, peers: 35
Oct 08 00:15:50, 4 hrs 35 mins, speed: 24.67 slots/sec,408466, peers: 33
Oct 08 00:16:02, 4 hrs 15 mins, speed: 26.67 slots/sec,408211, peers: 31
Oct 08 00:16:14, 4 hrs 14 mins, speed: 26.71 slots/sec,407956, peers: 32
Oct 08 00:16:26, 4 hrs 14 mins, speed: 26.67 slots/sec,407445, peers: 29
Oct 08 00:16:38, 4 hrs 14 mins, speed: 26.67 slots/sec,407190, peers: 29
Oct 08 00:16:50, 4 hrs 14 mins, speed: 26.67 slots/sec,406935, peers: 27
Oct 08 00:17:02, 4 hrs 14 mins, speed: 26.67 slots/sec,406680, peers: 27
Oct 08 00:17:14, 5 hrs 17 mins, speed: 21.33 slots/sec,406425, peers: 26
Oct 08 00:17:26, 4 hrs 13 mins, speed: 26.65 slots/sec,405915, peers: 32
Oct 08 00:17:38, 4 hrs 13 mins, speed: 26.67 slots/sec,405659, peers: 31
Oct 08 00:17:50, 4 hrs 13 mins, speed: 26.67 slots/sec,405404, peers: 37
Oct 08 00:18:02, 4 hrs 13 mins, speed: 26.65 slots/sec,405150, peers: 34
Oct 08 00:18:14, 5 hrs 16 mins, speed: 21.33 slots/sec,404895, peers: 39
Oct 08 00:18:26, 4 hrs 12 mins, speed: 26.67 slots/sec,404383, peers: 40
Oct 08 00:18:38, 4 hrs 12 mins, speed: 26.67 slots/sec,404128, peers: 39
Oct 08 00:18:50, 3 hrs 30 mins, speed: 32.00 slots/sec,403618, peers: 41
Oct 08 00:19:02, 3 hrs 29 mins, speed: 32.02 slots/sec,403362, peers: 37
Oct 08 00:19:14, 3 hrs 29 mins, speed: 32.00 slots/sec,402851, peers: 36
Oct 08 00:19:26, 3 hrs 29 mins, speed: 32.00 slots/sec,402596, peers: 35
Oct 08 00:19:38, 4 hrs 11 mins, speed: 26.69 slots/sec,402341, peers: 32
Oct 08 00:19:50, 3 hrs 29 mins, speed: 32.00 slots/sec,401830, peers: 34
Oct 08 00:20:02, 4 hrs 10 mins, speed: 26.67 slots/sec,401575, peers: 33
Oct 08 00:20:14, 4 hrs 10 mins, speed: 26.67 slots/sec,401320, peers: 36
